# This is a CSV file containing the TPL, TPU, UF and Compression for the Union-Find data structure.
# The data was generated for n = 1000 and delta = 5 .
N,TPL,TPU,UF,Compression
2965,138202,0,QU,NC
2970,138202,0,QU,NC
2975,138202,0,QU,NC
2980,138202,0,QU,NC
2985,138202,0,QU,NC
2990,138202,0,QU,NC
2995,138202,0,QU,NC
3000,138202,0,QU,NC
3005,138202,0,QU,NC
3010,138202,0,QU,NC
3015,138202,0,QU,NC
3020,138202,0,QU,NC
3025,138202,0,QU,NC
3030,138202,0,QU,NC
3035,138202,0,QU,NC
3040,138202,0,QU,NC
3045,138202,0,QU,NC
3050,138202,0,QU,NC
3055,138202,0,QU,NC
3060,138202,0,QU,NC
3065,138202,0,QU,NC
3070,138202,0,QU,NC
3075,138202,0,QU,NC
3080,138202,0,QU,NC
3085,138202,0,QU,NC
3090,138202,0,QU,NC
3095,138202,0,QU,NC
3100,138202,0,QU,NC
3105,138202,0,QU,NC
3110,138202,0,QU,NC
3115,138202,0,QU,NC
3120,138202,0,QU,NC
3125,138202,0,QU,NC
3130,138202,0,QU,NC
3135,138202,0,QU,NC
3140,138202,0,QU,NC
3145,138202,0,QU,NC
3150,138202,0,QU,NC
3155,138202,0,QU,NC
3160,138202,0,QU,NC
3165,138202,0,QU,NC
3170,138202,0,QU,NC
3175,138202,0,QU,NC
3180,138202,0,QU,NC
3185,138202,0,QU,NC
3190,138202,0,QU,NC
3195,138202,0,QU,NC
3200,138202,0,QU,NC
3205,138202,0,QU,NC
3210,138202,0,QU,NC
3215,138203,0,QU,NC
3220,138203,0,QU,NC
3225,138203,0,QU,NC
3230,138203,0,QU,NC
3235,138203,0,QU,NC
3240,138203,0,QU,NC
3245,138203,0,QU,NC
3250,138203,0,QU,NC
3255,138203,0,QU,NC
3260,138203,0,QU,NC
3265,138203,0,QU,NC
3270,138203,0,QU,NC
3275,138203,0,QU,NC
3280,138203,0,QU,NC
3285,138203,0,QU,NC
3290,138203,0,QU,NC
3295,138203,0,QU,NC
3300,138203,0,QU,NC
3305,138203,0,QU,NC
3310,138203,0,QU,NC
3315,138203,0,QU,NC
3320,138203,0,QU,NC
3325,138203,0,QU,NC
3330,138203,0,QU,NC
3335,138203,0,QU,NC
3340,138203,0,QU,NC
3345,138203,0,QU,NC
3350,138203,0,QU,NC
3355,138203,0,QU,NC
3360,138203,0,QU,NC
3365,138203,0,QU,NC
3370,138203,0,QU,NC
3375,138203,0,QU,NC
3380,138203,0,QU,NC
3385,138203,0,QU,NC
3390,138203,0,QU,NC
3395,138203,0,QU,NC
3400,139200,0,QU,NC
3405,139200,0,QU,NC
3410,139200,0,QU,NC
3415,139200,0,QU,NC
3420,139200,0,QU,NC
3425,139200,0,QU,NC
3430,139200,0,QU,NC
3435,139200,0,QU,NC
3440,139200,0,QU,NC
3445,139200,0,QU,NC
3450,139200,0,QU,NC
3455,139200,0,QU,NC
3460,139200,0,QU,NC
3465,139200,0,QU,NC
3470,139200,0,QU,NC
3475,139200,0,QU,NC
3480,139200,0,QU,NC
3485,139200,0,QU,NC
3490,139200,0,QU,NC
3495,139200,0,QU,NC
3500,139200,0,QU,NC
3505,139200,0,QU,NC
3510,139200,0,QU,NC
3515,139200,0,QU,NC
3520,139200,0,QU,NC
3525,139200,0,QU,NC
3530,139200,0,QU,NC
3535,139200,0,QU,NC
3540,139200,0,QU,NC
3545,139200,0,QU,NC
3550,139200,0,QU,NC
3555,139200,0,QU,NC
3560,139200,0,QU,NC
3565,139200,0,QU,NC
3570,139200,0,QU,NC
3575,139200,0,QU,NC
3580,139200,0,QU,NC
3585,139200,0,QU,NC
3590,139200,0,QU,NC
3595,139200,0,QU,NC
3600,139200,0,QU,NC
3605,139200,0,QU,NC
3610,139200,0,QU,NC
3615,139200,0,QU,NC
3620,139200,0,QU,NC
3625,139200,0,QU,NC
3630,139200,0,QU,NC
3635,139200,0,QU,NC
3640,139200,0,QU,NC
3645,139200,0,QU,NC
3650,139200,0,QU,NC
3655,139200,0,QU,NC
3660,139200,0,QU,NC
3665,139200,0,QU,NC
3670,139200,0,QU,NC
3675,139200,0,QU,NC
3680,139200,0,QU,NC
3685,139200,0,QU,NC
3690,139200,0,QU,NC
3695,139200,0,QU,NC
3700,139200,0,QU,NC
3705,139200,0,QU,NC
3710,139200,0,QU,NC
3715,139200,0,QU,NC
3720,139200,0,QU,NC
3725,139200,0,QU,NC
3730,139200,0,QU,NC
3735,139200,0,QU,NC
3740,139200,0,QU,NC
3745,139200,0,QU,NC
3750,139200,0,QU,NC
3755,139200,0,QU,NC
3760,139200,0,QU,NC
3765,139200,0,QU,NC
3770,139200,0,QU,NC
3775,139200,0,QU,NC
3780,139200,0,QU,NC
3785,139200,0,QU,NC
3790,139200,0,QU,NC
3795,139200,0,QU,NC
3800,139200,0,QU,NC
3805,139200,0,QU,NC
3810,139200,0,QU,NC
3815,139200,0,QU,NC
3820,139200,0,QU,NC
3825,139200,0,QU,NC
3830,139200,0,QU,NC
3835,139200,0,QU,NC
3840,139200,0,QU,NC
3845,139200,0,QU,NC
3850,139200,0,QU,NC
3855,139200,0,QU,NC
3860,139201,0,QU,NC
3865,139201,0,QU,NC
3870,139201,0,QU,NC
3875,139201,0,QU,NC
3880,139201,0,QU,NC
3885,139201,0,QU,NC
3890,139201,0,QU,NC
3895,139201,0,QU,NC
3900,139201,0,QU,NC
3905,139201,0,QU,NC
3910,139201,0,QU,NC
3915,139201,0,QU,NC
3920,139201,0,QU,NC
3925,139201,0,QU,NC
3930,139201,0,QU,NC
3935,139201,0,QU,NC
3940,139201,0,QU,NC
3945,139201,0,QU,NC
3950,139201,0,QU,NC
3955,139201,0,QU,NC
3960,139201,0,QU,NC
3965,139201,0,QU,NC
3970,139201,0,QU,NC
3975,139201,0,QU,NC
3980,139201,0,QU,NC
3985,139201,0,QU,NC
3990,139201,0,QU,NC
3995,139201,0,QU,NC
4000,139201,0,QU,NC
4005,139201,0,QU,NC
4010,139201,0,QU,NC
4015,139201,0,QU,NC
4020,139201,0,QU,NC
4025,139201,0,QU,NC
4030,139201,0,QU,NC
4035,139201,0,QU,NC
4040,139201,0,QU,NC
4045,139201,0,QU,NC
4050,139201,0,QU,NC
4055,139201,0,QU,NC
4060,139201,0,QU,NC
4065,139201,0,QU,NC
4070,139201,0,QU,NC
4075,139201,0,QU,NC
4080,139201,0,QU,NC
4085,139201,0,QU,NC
4090,139201,0,QU,NC
4095,139201,0,QU,NC
4100,139201,0,QU,NC
4105,139201,0,QU,NC
4110,139201,0,QU,NC
4115,139201,0,QU,NC
4120,139201,0,QU,NC
4125,139201,0,QU,NC
4130,139201,0,QU,NC
4135,139201,0,QU,NC
4140,139201,0,QU,NC
4145,139201,0,QU,NC
4150,139201,0,QU,NC
4155,139201,0,QU,NC
4160,139201,0,QU,NC
4165,139201,0,QU,NC
4170,139201,0,QU,NC
4175,139201,0,QU,NC
4180,139201,0,QU,NC
4185,139201,0,QU,NC
4190,139201,0,QU,NC
4195,139201,0,QU,NC
4200,139201,0,QU,NC
4205,139201,0,QU,NC
4210,139201,0,QU,NC
4215,139201,0,QU,NC
4220,139201,0,QU,NC
4225,139201,0,QU,NC
4230,139201,0,QU,NC
4235,139201,0,QU,NC
4240,139201,0,QU,NC
4245,139201,0,QU,NC
4250,139201,0,QU,NC
4255,139201,0,QU,NC
4260,139201,0,QU,NC
4265,139201,0,QU,NC
4270,139201,0,QU,NC
4275,139201,0,QU,NC
4280,139201,0,QU,NC
4285,139201,0,QU,NC
4290,139201,0,QU,NC
4295,139201,0,QU,NC
4300,139201,0,QU,NC
4305,139201,0,QU,NC
4310,139201,0,QU,NC
4315,139201,0,QU,NC
4320,139201,0,QU,NC
4325,139201,0,QU,NC
4330,139201,0,QU,NC
4335,139201,0,QU,NC
4340,139201,0,QU,NC
4345,139201,0,QU,NC
4350,139201,0,QU,NC
4355,139201,0,QU,NC
4360,139201,0,QU,NC
4365,139201,0,QU,NC
4370,139201,0,QU,NC
4375,139201,0,QU,NC
4380,139201,0,QU,NC
